"COUNTRY","ISO3","WHO_REGION","DATE_UPDATED","VACCINES_USED","NUMBER_VACCINES_TYPES_USED","Protection against ORIGINAL Var- SEVERE, % average","Protection against ORIGINAL Var- INFECTION, % average","Protection against LATEST var BA1.n SEVERE, % average","Protection against LATEST var BA1.n INFECTION, % average","TOTAL Population","Population Vaccinated","% Population vaccinated","% People Protected for ORGINAL SEVERE","% People Protected for ORGINAL INFECTION","% People Protected for OMICRON SEVERE","% People Protected for OMICRON INFECTION","% SUCEPTIBLE for  BREAKTHROUGH  ORGINAL SEVERE","% SUCEPTIBLE for  BREAKTHROUGH ORIGINAL  INFECTION","% SUCEPTIBLE for  BREAKTHROUGH OMICRON SEVERE","% SUCEPTIBLE for  BREAKTHROUGH OMICRON INFECTION","% Population NOT VACCINATED"
"Tunisia","TUN","EMRO","2022-12-20 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","10","82","74","60","38","12356116","7217571","58.412943031613","47.90","43.23","35.05","22.20","10.51","15.19","23.37","36.22","41.59"
"Turkey","TUR","EURO","2022-12-11 00:00:00","Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac","3","48","44","36","23","85341248","57941051","67.893372030369","32.59","29.87","24.44","15.62","35.30","38.02","43.45","52.28","32.11"
"Turkmenistan","TKM","EURO","2022-09-04 00:00:00","Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona,Unknown Vaccine","7","37","31","27","16","6430777","3728004","57.971284029908","21.45","17.97","15.65","9.28","36.52","40.00","42.32","48.70","42.03"
"Turks and Caicos Islands","TCA","AMRO","2022-12-16 00:00:00","Pfizer BioNTech - Comirnaty","1","95","86","72","44","45726","32815","71.76442286664","68.18","61.72","51.67","31.58","3.59","10.05","20.09","40.19","28.24"
"Tuvalu","TUV","WPRO","2022-08-31 00:00:00","AstraZeneca - Vaxzevria","1","94","63","71","36","11335","9603","84.719894133216","79.64","53.37","60.15","30.50","5.08","31.35","24.57","54.22","15.28"
"Uganda","UGA","AFRO","2022-12-18 00:00:00","Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","5","84","72","62","37","47249588","18867075","39.93066563882","33.54","28.75","24.76","14.77","6.39","11.18","15.17","25.16","60.07"
"Ukraine","UKR","EURO","2022-02-27 00:00:00","AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","6","86","71","64","37","39701744","15774300","39.732007742531","34.17","28.21","25.43","14.70","5.56","11.52","14.30","25.03","60.27"
"United Arab Emirates","ARE","EMRO","2022-07-06 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","9441138","9991089","105.82504990394","87.83","77.25","64.55","40.21","17.99","28.57","41.27","65.61","-5.83"
"United Republic of Tanzania","TZA","AFRO","2022-12-11 00:00:00","Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty","3","85","75","61","37","65497752","31191545","47.622313816205","40.48","35.72","29.05","17.62","7.14","11.91","18.57","30.00","52.38"
"United States of America","USA","AMRO","2022-12-16 00:00:00","Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty","4","70","63","51","31","338289856","269064626","79.536711263373","55.68","50.11","40.56","24.66","23.86","29.43","38.97","54.88","20.46"
"Uruguay","URY","AMRO","2022-12-16 00:00:00","AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac","3","80","65","60","35","3422796","3005815","87.817532800669","70.25","57.08","52.69","30.74","17.56","30.74","35.13","57.08","12.18"
"Uzbekistan","UZB","EURO","2022-12-11 00:00:00","Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,Unknown Vaccine","8","65","58","48","30","34627648","21543755","62.215473023175","40.44","36.08","29.86","18.66","21.78","26.13","32.35","43.55","37.78"
"Vanuatu","VUT","WPRO","2022-08-28 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S","3","84","68","60","35","326744","144824","44.323384668119","37.23","30.14","26.59","15.51","7.09","14.18","17.73","28.81","55.68"
"Venezuela (Bolivarian Republic of)","VEN","AMRO","2022-12-16 00:00:00","Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac","6","51","48","37","25","28301700","22157232","78.289403110061","39.93","37.58","28.97","19.57","38.36","40.71","49.32","58.72","21.71"
"Viet Nam","VNM","WPRO","2022-12-15 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty","6","75","66","56","35","98186856","90454197","92.124547709319","69.09","60.80","51.59","32.24","23.03","31.32","40.53","59.88","7.88"
"Wallis and Futuna","WLF","WPRO","2022-07-26 00:00:00","Moderna - Spikevax","1","97","92","73","48","11596","7150","61.659192825112","59.81","56.73","45.01","29.60","1.85","4.93","16.65","32.06","38.34"
"Yemen","YEM","EMRO","2022-12-18 00:00:00","AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac","11","83","73","61","38","33696612","1006274","2.9862764838198","2.48","2.18","1.82","1.13","0.51","0.81","1.16","1.85","97.01"
"Zambia","ZMB","AFRO","2022-12-18 00:00:00","Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield","3","84","68","60","35","20017670","10802844","53.966540561414","45.33","36.70","32.38","18.89","8.63","17.27","21.59","35.08","46.03"
"Zimbabwe","ZWE","AFRO","2022-11-13 00:00:00","Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac","4","73","69","54","35","16320539","6437808","39.446050158025","28.80","27.22","21.30","13.81","10.65","12.23","18.15","25.64","60.55"
